Territorio,Età,Sesso,Causa iniziale di morte - European Short List
Sud,70-74 anni,maschi,malattie ischemiche del cuore
Sud,90-94 anni,totale,"cirrosi, fibrosi ed epatite cronica"
Sud,25-29 anni,totale,"omicidio, aggressione"
Sud,50-54 anni,maschi,di cui tumori maligni della tiroide
Sud,totale,totale,"altri sintomi, segni, risultati anomali e cause mal definite"
Sud,95 anni e più,totale,malattie del sistema nervoso e degli organi di senso
Sud,45-49 anni,femmine,di cui tumori maligni dell'ovaio
Sud,50-54 anni,totale,disturbi psichici e comportamentali
Sud,85-89 anni,maschi,malattie della cute e del tessuto sottocutaneo
Sud,80-84 anni,maschi,malattie del sistema nervoso e degli organi di senso
Sud,5-9 anni,femmine,alcune condizioni morbose che hanno origine nel periodo perinatale
Sud,85-89 anni,totale,Covid-19
Sud,30-34 anni,totale,"di cui tumori maligni del colon, del retto e dell'ano"
Sud,45-49 anni,femmine,"di cui tumori maligni delle labbra, cavità orale e faringe"
Sud,45-49 anni,maschi,di cui altri tumori maligni
Sud,30-34 anni,totale,tumori non maligni (benigni e di comportamento incerto)
Sud,15-19 anni,maschi,di cui avvelenamento accidentale
Sud,85-89 anni,maschi,demenza
Sud,15-19 anni,maschi,accidenti
Sud,10-14 anni,femmine,cause esterne di traumatismo e avvelenamento
Sud,50-54 anni,totale,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Sud,60-64 anni,totale,di cui cadute accidentali
Sud,25-29 anni,totale,di cui cadute accidentali
Sud,85-89 anni,totale,alcune malattie infettive e parassitarie
Sud,75-79 anni,maschi,malattie del sistema osteomuscolare e del tessuto connettivo
Sud,totale,totale,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Sud,15-19 anni,femmine,"malattie endocrine, nutrizionali e metaboliche"
Sud,90-94 anni,maschi,"di cui tumori maligni delle labbra, cavità orale e faringe"
Sud,65-69 anni,femmine,alcune malattie infettive e parassitarie
Sud,80-84 anni,maschi,malattie cerebrovascolari
Sud,75-79 anni,maschi,tubercolosi
Sud,75-79 anni,femmine,di cui morbo di hodgkin e linfomi
Sud,75-79 anni,maschi,malattie croniche delle basse vie respiratorie
Sud,55-59 anni,totale,diabete mellito
Sud,45-49 anni,femmine,di cui tumori maligni del pancreas
Sud,35-39 anni,totale,malattie del sistema respiratorio
Sud,55-59 anni,totale,di cui tumori maligni della tiroide
Sud,totale,maschi,alcune condizioni morbose che hanno origine nel periodo perinatale
Sud,15-19 anni,maschi,tumori non maligni (benigni e di comportamento incerto)
Sud,95 anni e più,totale,influenza
Sud,55-59 anni,maschi,di cui tumori maligni del seno
Sud,40-44 anni,totale,altri disturbi psichici e comportamentali
Sud,55-59 anni,totale,di cui tumori maligni di altre parti dell'utero
Sud,60-64 anni,totale,Covid-19
Sud,40-44 anni,maschi,di cui tumori maligni dell'esofago
Sud,40-44 anni,femmine,di cui tumori maligni del rene
Sud,50-54 anni,totale,alcune malattie infettive e parassitarie
Sud,55-59 anni,femmine,polmonite
Sud,30-34 anni,femmine,malattie del sistema osteomuscolare e del tessuto connettivo
Sud,totale,femmine,altre malattie dell'apparato digerente
Sud,40-44 anni,totale,"Covid-19, virus identificato"
Sud,75-79 anni,femmine,malattie del sistema respiratorio
Sud,55-59 anni,femmine,altre malattie del cuore
Sud,65-69 anni,femmine,tumori
Sud,60-64 anni,totale,tumori maligni
Sud,45-49 anni,totale,di cui tumori maligni dello stomaco
Sud,55-59 anni,totale,altre malattie del sistema osteomuscolare e del tessuto connettivo
Sud,85-89 anni,femmine,altre malattie del sistema circolatorio
Sud,25-29 anni,maschi,"Covid-19, virus identificato"
Sud,60-64 anni,totale,altre malattie infettive e parassitarie
Sud,65-69 anni,femmine,altre malattie dell'apparato digerente
Sud,75-79 anni,maschi,di cui altre malattie croniche delle basse vie respiratorie
Sud,60-64 anni,maschi,"Covid-19, virus identificato"
Sud,35-39 anni,maschi,alcune malattie infettive e parassitarie
Sud,20-24 anni,femmine,cause esterne di traumatismo e avvelenamento
Sud,45-49 anni,totale,demenza
Sud,90-94 anni,maschi,malattie ischemiche del cuore
Sud,10-14 anni,maschi,"altre malattie endocrine, nutrizionali e metaboliche"
Sud,95 anni e più,maschi,du cui altre malattie ischemiche del cuore
Sud,75-79 anni,femmine,"sintomi, segni, risultati anomali e cause mal definite"
Sud,65-69 anni,femmine,malattie del sistema osteomuscolare e del tessuto connettivo
Sud,70-74 anni,totale,disturbi psichici e comportamentali
Sud,25-29 anni,maschi,totale
Sud,10-14 anni,maschi,cause esterne di traumatismo e avvelenamento
Sud,35-39 anni,maschi,altri disturbi psichici e comportamentali
Sud,totale,totale,"di cui tumori maligni delle labbra, cavità orale e faringe"
Sud,60-64 anni,maschi,di cui tumori maligni dello stomaco
Sud,50-54 anni,femmine,di cui altre malattie croniche delle basse vie respiratorie
Sud,50-54 anni,maschi,tumori maligni
Sud,80-84 anni,maschi,di cui altre malattie croniche delle basse vie respiratorie
Sud,60-64 anni,femmine,"malattie endocrine, nutrizionali e metaboliche"
Sud,1-4 anni,totale,tumori
Sud,35-39 anni,maschi,altre malattie del cuore
Sud,70-74 anni,maschi,altre malattie del sistema respiratorio
Sud,0 anni,femmine,totale
Sud,95 anni e più,femmine,malattie ischemiche del cuore
Sud,70-74 anni,totale,"altri sintomi, segni, risultati anomali e cause mal definite"
Sud,75-79 anni,totale,di cui tumori maligni di altre parti dell'utero
Sud,40-44 anni,totale,altre malattie del sistema osteomuscolare e del tessuto connettivo
Sud,90-94 anni,totale,di cui tumori maligni del seno
Sud,45-49 anni,maschi,malformazioni congenite ed anomalie cromosomiche
Sud,80-84 anni,femmine,Covid-19
Sud,85-89 anni,femmine,di cui tumori maligni dell'esofago
Sud,80-84 anni,femmine,altre cause esterne di traumatismo e avvelenamento
Sud,30-34 anni,totale,disturbi psichici e comportamentali
Sud,30-34 anni,totale,tumori
Sud,65-69 anni,maschi,accidenti
Sud,75-79 anni,femmine,demenza
Sud,60-64 anni,femmine,malattie cerebrovascolari
Sud,95 anni e più,femmine,artrite reumatoide a osteoartrosi
Sud,15-19 anni,totale,totale
Sud,75-79 anni,maschi,di cui avvelenamento accidentale
Sud,55-59 anni,totale,altre malattie dell'apparato genitourinario
Sud,85-89 anni,totale,"ulcera dello stomaco, duodeno e digiuno"
Sud,55-59 anni,totale,altre cause esterne di traumatismo e avvelenamento
Sud,60-64 anni,maschi,morbo di parkinson
Sud,95 anni e più,totale,di cui tumori maligni del pancreas
Sud,totale,totale,eventi di intento indeterminato
Sud,80-84 anni,totale,malattie dell'apparato digerente
Sud,45-49 anni,femmine,Covid-19
Sud,60-64 anni,femmine,totale
Sud,70-74 anni,totale,"altre malattie endocrine, nutrizionali e metaboliche"
Sud,50-54 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Sud,90-94 anni,maschi,malattie del sistema respiratorio
Sud,40-44 anni,totale,totale
Sud,75-79 anni,totale,di cui leucemia
Sud,35-39 anni,totale,di cui annegamento e sommersione accidentali
Sud,65-69 anni,totale,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Sud,60-64 anni,totale,malattie dell'apparato genitourinario
Sud,70-74 anni,maschi,altre malattie del sistema osteomuscolare e del tessuto connettivo
Sud,non indicato,maschi,cause sconosciute e non specificate
Sud,45-49 anni,femmine,malattie del sistema respiratorio
Sud,80-84 anni,totale,di cui tumori maligni di altre parti dell'utero
Sud,70-74 anni,totale,altre cause esterne di traumatismo e avvelenamento
Sud,60-64 anni,totale,di cui tumori maligni del rene
Sud,30-34 anni,femmine,malattie del sistema circolatorio
Sud,5-9 anni,femmine,totale
Sud,90-94 anni,femmine,Covid-19
Sud,5-9 anni,maschi,"sintomi, segni, risultati anomali e cause mal definite"
Sud,85-89 anni,femmine,malattia di alzheimer
Sud,45-49 anni,totale,di cui annegamento e sommersione accidentali
Sud,65-69 anni,maschi,di cui leucemia
Sud,85-89 anni,totale,accidenti
Sud,65-69 anni,femmine,du cui altre malattie ischemiche del cuore
Sud,80-84 anni,femmine,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Sud,non indicato,maschi,"altri sintomi, segni, risultati anomali e cause mal definite"
Sud,55-59 anni,femmine,"omicidio, aggressione"
Sud,20-24 anni,totale,malattie ischemiche del cuore
Sud,40-44 anni,femmine,di cui melanomi maligni della cute
Sud,50-54 anni,femmine,di cui tumori maligni di altre parti dell'utero
Sud,65-69 anni,femmine,tumori non maligni (benigni e di comportamento incerto)
Sud,45-49 anni,femmine,di cui tumori maligni della vescica
Sud,40-44 anni,totale,"sintomi, segni, risultati anomali e cause mal definite"
Sud,50-54 anni,totale,di cui accidenti di trasporto
Sud,90-94 anni,femmine,malattia di alzheimer
Sud,80-84 anni,femmine,"altre malattie endocrine, nutrizionali e metaboliche"
Sud,65-69 anni,totale,di cui tumori maligni dell'ovaio
Sud,95 anni e più,maschi,di cui tumori maligni della laringe
Sud,10-14 anni,maschi,malattie del sistema respiratorio
Sud,40-44 anni,totale,Covid-19
Sud,90-94 anni,totale,altre malattie infettive e parassitarie
Sud,90-94 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Sud,90-94 anni,femmine,di cui infarto miocardico acuto
Sud,50-54 anni,femmine,tumori maligni
Sud,30-34 anni,maschi,di cui tumori maligni del pancreas
Sud,totale,femmine,malattie ischemiche del cuore
Sud,5-9 anni,femmine,di cui accidenti di trasporto
Sud,45-49 anni,maschi,di cui tumori maligni della prostata
Sud,35-39 anni,femmine,malattie dell'apparato digerente
Sud,70-74 anni,femmine,demenza
Sud,40-44 anni,femmine,"altre malattie endocrine, nutrizionali e metaboliche"
Sud,25-29 anni,femmine,tumori
Sud,80-84 anni,femmine,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Sud,80-84 anni,totale,malattie croniche delle basse vie respiratorie
Sud,40-44 anni,femmine,altre malattie dell'apparato digerente
Sud,55-59 anni,femmine,di cui tumori maligni della tiroide
Sud,10-14 anni,totale,"altri sintomi, segni, risultati anomali e cause mal definite"
Sud,75-79 anni,maschi,di cui tumori maligni dello stomaco
Sud,80-84 anni,femmine,tumori maligni
Sud,40-44 anni,totale,tumori
Sud,60-64 anni,totale,di cui tumori maligni di altre parti dell'utero
Sud,totale,femmine,malattie del sistema nervoso e degli organi di senso
Sud,20-24 anni,totale,malattie cerebrovascolari
Sud,75-79 anni,maschi,malformazioni congenite ed anomalie cromosomiche
Sud,totale,totale,di cui tumori maligni della laringe
Sud,40-44 anni,totale,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Sud,85-89 anni,femmine,accidenti
Sud,75-79 anni,femmine,altre cause esterne di traumatismo e avvelenamento
Sud,1-4 anni,totale,di cui leucemia
Sud,55-59 anni,maschi,di cui accidenti di trasporto
Sud,65-69 anni,femmine,"di cui tumori maligni del colon, del retto e dell'ano"
Sud,45-49 anni,totale,cause sconosciute e non specificate
Sud,totale,maschi,di cui accidenti di trasporto
Sud,55-59 anni,femmine,di cui asma
Sud,75-79 anni,femmine,cause sconosciute e non specificate
Sud,40-44 anni,maschi,epatite virale
Sud,45-49 anni,femmine,altre malattie dell'apparato genitourinario
Sud,60-64 anni,femmine,di cui morbo di hodgkin e linfomi
Sud,80-84 anni,totale,"Covid-19, virus non identificato"
Sud,85-89 anni,maschi,di cui infarto miocardico acuto
Sud,95 anni e più,femmine,tumori non maligni (benigni e di comportamento incerto)
Sud,50-54 anni,totale,di cui altri accidenti
Sud,50-54 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Sud,65-69 anni,femmine,"Covid-19, virus non identificato"
Sud,55-59 anni,maschi,abuso di alcool (compresa psicosi alcolica)
Sud,70-74 anni,totale,tumori
Sud,totale,maschi,malattia di alzheimer
Sud,55-59 anni,maschi,artrite reumatoide a osteoartrosi
Sud,85-89 anni,totale,di cui tumori maligni di altre parti dell'utero
Sud,90-94 anni,femmine,suicidio e autolesione intenzionale
Sud,95 anni e più,totale,di cui infarto miocardico acuto
Sud,totale,femmine,di cui avvelenamento accidentale
Sud,45-49 anni,totale,altre malattie del sistema respiratorio
Sud,65-69 anni,maschi,"Covid-19, virus identificato"
Sud,65-69 anni,totale,altre malattie dell'apparato digerente
Sud,35-39 anni,totale,di cui tumori maligni del cervello e del sistema nervoso centrale
Sud,80-84 anni,totale,malattie del rene e dell'uretere
Sud,30-34 anni,totale,aids (malattia da hiv)
Sud,70-74 anni,maschi,Covid-19
Sud,totale,femmine,malattie dell'apparato genitourinario
Sud,60-64 anni,femmine,"di cui tumori maligni delle labbra, cavità orale e faringe"
Sud,55-59 anni,femmine,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Sud,95 anni e più,femmine,tumori
Sud,40-44 anni,femmine,tumori
Sud,75-79 anni,totale,cause sconosciute e non specificate
Sud,totale,totale,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Sud,75-79 anni,maschi,malattie della cute e del tessuto sottocutaneo
Sud,90-94 anni,maschi,di cui tumori maligni del rene
Sud,totale,totale,malattie cerebrovascolari
Sud,90-94 anni,totale,di cui tumori maligni dell'esofago
Sud,totale,maschi,di cui tumori maligni dell'esofago
Sud,95 anni e più,totale,altre cause esterne di traumatismo e avvelenamento
Sud,65-69 anni,totale,totale
Sud,95 anni e più,totale,malattie dell'apparato digerente
Sud,45-49 anni,femmine,di cui melanomi maligni della cute
Sud,0 anni,maschi,"sintomi, segni, risultati anomali e cause mal definite"
Sud,15-19 anni,totale,malattie del sistema circolatorio
Sud,50-54 anni,totale,Covid-19
Sud,25-29 anni,totale,altre malattie del sistema circolatorio
Sud,45-49 anni,femmine,altri disturbi psichici e comportamentali
Sud,85-89 anni,totale,di cui tumori maligni del seno
Sud,85-89 anni,maschi,"di cui tumori maligni delle labbra, cavità orale e faringe"
Sud,75-79 anni,femmine,"omicidio, aggressione"
Sud,90-94 anni,totale,"Covid-19, virus non identificato"
Sud,30-34 anni,femmine,di cui altri tumori maligni
Sud,65-69 anni,maschi,altre malattie del sistema circolatorio
Sud,45-49 anni,totale,di cui tumori maligni della vescica
Sud,25-29 anni,totale,altre malattie del sistema respiratorio
Sud,60-64 anni,maschi,di cui tumori maligni del seno
Sud,45-49 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Sud,70-74 anni,totale,di cui altri accidenti
Sud,90-94 anni,maschi,malattie dell'apparato digerente
Sud,50-54 anni,maschi,di cui annegamento e sommersione accidentali
Sud,65-69 anni,femmine,cause sconosciute e non specificate
Sud,totale,totale,"altre malattie endocrine, nutrizionali e metaboliche"
Sud,45-49 anni,totale,tumori maligni
Sud,80-84 anni,femmine,morbo di parkinson
Sud,85-89 anni,maschi,malattie del rene e dell'uretere
Sud,50-54 anni,femmine,alcune condizioni morbose che hanno origine nel periodo perinatale
Sud,60-64 anni,femmine,di cui tumori maligni del seno
Sud,55-59 anni,totale,"omicidio, aggressione"
Sud,65-69 anni,maschi,"cirrosi, fibrosi ed epatite cronica"
Sud,70-74 anni,totale,"ulcera dello stomaco, duodeno e digiuno"
Sud,60-64 anni,femmine,"ulcera dello stomaco, duodeno e digiuno"
Sud,55-59 anni,totale,altre malattie infettive e parassitarie
Sud,75-79 anni,maschi,malattie del rene e dell'uretere
Sud,50-54 anni,totale,"Covid-19, virus non identificato"
Sud,80-84 anni,maschi,disturbi psichici e comportamentali
Sud,75-79 anni,totale,altre malattie del sistema nervoso e degli organi di senso
Sud,85-89 anni,maschi,di cui tumori maligni del pancreas
Sud,55-59 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Sud,35-39 anni,femmine,tumori non maligni (benigni e di comportamento incerto)
Sud,10-14 anni,totale,malattie del sistema nervoso e degli organi di senso
Sud,25-29 anni,maschi,altre malattie del cuore
Sud,65-69 anni,maschi,abuso di alcool (compresa psicosi alcolica)
Sud,90-94 anni,maschi,di cui altri accidenti
Sud,95 anni e più,maschi,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Sud,75-79 anni,maschi,di cui altri tumori maligni
Sud,30-34 anni,maschi,malattie del sistema respiratorio
Sud,85-89 anni,femmine,tumori maligni
Sud,20-24 anni,totale,tumori non maligni (benigni e di comportamento incerto)
Sud,70-74 anni,femmine,di cui altri accidenti
Sud,45-49 anni,maschi,altre malattie del cuore
Sud,80-84 anni,totale,accidenti
Sud,70-74 anni,maschi,malattia di alzheimer
Sud,30-34 anni,totale,malattie dell'apparato digerente
Sud,40-44 anni,totale,di cui annegamento e sommersione accidentali
Sud,totale,maschi,di cui altri accidenti
Sud,90-94 anni,totale,artrite reumatoide a osteoartrosi
Sud,85-89 anni,femmine,malattie dell'apparato genitourinario
Sud,75-79 anni,maschi,"ulcera dello stomaco, duodeno e digiuno"
Sud,40-44 anni,maschi,"sintomi, segni, risultati anomali e cause mal definite"
Sud,90-94 anni,totale,diabete mellito
Sud,50-54 anni,totale,"cirrosi, fibrosi ed epatite cronica"
Sud,totale,femmine,di cui tumori maligni del cervello e del sistema nervoso centrale
Sud,15-19 anni,femmine,di cui tumori maligni dell'ovaio
Sud,90-94 anni,femmine,altre cause esterne di traumatismo e avvelenamento
Sud,20-24 anni,maschi,di cui altri accidenti
Sud,25-29 anni,totale,di cui altri accidenti
Sud,0 anni,totale,alcune malattie infettive e parassitarie
Sud,70-74 anni,femmine,altre malattie del sistema respiratorio
Sud,65-69 anni,femmine,altre malattie del cuore
Sud,30-34 anni,maschi,di cui tumori maligni dello stomaco
Sud,80-84 anni,femmine,altri disturbi psichici e comportamentali
Sud,50-54 anni,femmine,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Sud,85-89 anni,totale,altre malattie dell'apparato genitourinario
Sud,60-64 anni,maschi,tubercolosi
Sud,55-59 anni,totale,malattie dell'apparato digerente
Sud,90-94 anni,totale,di cui tumori maligni della cervice uterina
Sud,95 anni e più,femmine,altre malattie del sistema respiratorio
Sud,90-94 anni,femmine,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Sud,50-54 anni,femmine,polmonite
Sud,80-84 anni,maschi,di cui tumori maligni della laringe
Sud,75-79 anni,maschi,epatite virale
Sud,65-69 anni,maschi,malattie dell'apparato digerente
Sud,55-59 anni,femmine,cause esterne di traumatismo e avvelenamento
Sud,non indicato,femmine,"malattie endocrine, nutrizionali e metaboliche"
Sud,75-79 anni,femmine,di cui cadute accidentali
Sud,95 anni e più,maschi,di cui tumori maligni dello stomaco
Sud,60-64 anni,femmine,di cui altre malattie croniche delle basse vie respiratorie
Sud,20-24 anni,totale,suicidio e autolesione intenzionale
Sud,90-94 anni,femmine,di cui altri tumori maligni
Sud,1-4 anni,totale,altre malattie del sistema nervoso e degli organi di senso
Sud,95 anni e più,totale,altre malattie del sistema circolatorio
Sud,totale,femmine,malattie cerebrovascolari
Sud,40-44 anni,totale,di cui tumori maligni del cervello e del sistema nervoso centrale
Sud,75-79 anni,femmine,di cui tumori maligni della laringe
Sud,85-89 anni,femmine,diabete mellito
Sud,40-44 anni,totale,"di cui tumori maligni delle labbra, cavità orale e faringe"
Sud,35-39 anni,totale,diabete mellito
Sud,30-34 anni,femmine,suicidio e autolesione intenzionale
Sud,15-19 anni,totale,di cui leucemia
Sud,95 anni e più,maschi,di cui melanomi maligni della cute
Sud,15-19 anni,maschi,malattie croniche delle basse vie respiratorie
Sud,1-4 anni,femmine,malattie cerebrovascolari
Sud,90-94 anni,maschi,altre malattie del sistema nervoso e degli organi di senso
Sud,35-39 anni,totale,di cui accidenti di trasporto
Sud,80-84 anni,femmine,di cui tumori maligni dell'esofago
Sud,20-24 anni,totale,malattie del sistema nervoso e degli organi di senso
Sud,20-24 anni,femmine,di cui annegamento e sommersione accidentali
Sud,95 anni e più,maschi,"altri sintomi, segni, risultati anomali e cause mal definite"
Sud,55-59 anni,maschi,"sintomi, segni, risultati anomali e cause mal definite"
Sud,50-54 anni,maschi,"di cui tumori maligni del colon, del retto e dell'ano"
Sud,65-69 anni,totale,diabete mellito
Sud,70-74 anni,totale,altre malattie dell'apparato genitourinario
Sud,50-54 anni,femmine,di cui tumori maligni dello stomaco
Sud,35-39 anni,femmine,"malattie endocrine, nutrizionali e metaboliche"
Sud,60-64 anni,femmine,malattie del sistema circolatorio
Sud,45-49 anni,totale,altre cause esterne di traumatismo e avvelenamento
Sud,85-89 anni,femmine,influenza
Sud,20-24 anni,femmine,di cui altri tumori maligni
Sud,30-34 anni,totale,malattie dell'apparato genitourinario
Sud,95 anni e più,femmine,di cui melanomi maligni della cute
Sud,75-79 anni,totale,altre malattie dell'apparato digerente
Sud,95 anni e più,totale,polmonite
Sud,55-59 anni,femmine,malattie del sistema circolatorio
Sud,45-49 anni,totale,epatite virale
Sud,75-79 anni,maschi,di cui annegamento e sommersione accidentali
Sud,30-34 anni,totale,di cui tumori maligni dello stomaco
Sud,75-79 anni,femmine,du cui altre malattie ischemiche del cuore
Sud,55-59 anni,femmine,du cui altre malattie ischemiche del cuore
Sud,35-39 anni,maschi,"omicidio, aggressione"
Sud,70-74 anni,totale,alcune malattie infettive e parassitarie
Sud,40-44 anni,totale,di cui tumori maligni di altre parti dell'utero
Sud,0 anni,totale,"malattie endocrine, nutrizionali e metaboliche"
Sud,totale,femmine,tumori non maligni (benigni e di comportamento incerto)
Sud,45-49 anni,femmine,di cui tumori maligni dello stomaco
Sud,60-64 anni,maschi,accidenti
Sud,90-94 anni,maschi,"omicidio, aggressione"
Sud,65-69 anni,maschi,di cui tumori maligni della laringe
Sud,60-64 anni,totale,"dipendenza da droghe, tossicomania"
Sud,25-29 anni,femmine,malattie del rene e dell'uretere
Sud,60-64 anni,femmine,disturbi psichici e comportamentali
Sud,55-59 anni,maschi,di cui altri accidenti
Sud,95 anni e più,femmine,malattie del sistema respiratorio
Sud,90-94 anni,femmine,altre malattie dell'apparato genitourinario
Sud,60-64 anni,femmine,"Covid-19, virus non identificato"
Sud,15-19 anni,femmine,cause sconosciute e non specificate
Sud,55-59 anni,maschi,di cui tumori maligni del rene
Sud,75-79 anni,femmine,di cui accidenti di trasporto
Sud,45-49 anni,totale,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Sud,1-4 anni,maschi,altre malattie del sistema nervoso e degli organi di senso
Sud,60-64 anni,maschi,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Sud,90-94 anni,maschi,di cui infarto miocardico acuto
Sud,60-64 anni,maschi,di cui leucemia
Sud,50-54 anni,maschi,malattie croniche delle basse vie respiratorie
Sud,55-59 anni,totale,artrite reumatoide a osteoartrosi
Sud,totale,maschi,malattie del sistema nervoso e degli organi di senso
Sud,5-9 anni,maschi,di cui leucemia
Sud,60-64 anni,maschi,"omicidio, aggressione"
Sud,5-9 anni,maschi,malattie del sistema circolatorio
Sud,55-59 anni,femmine,totale
Sud,65-69 anni,femmine,tumori maligni
Sud,80-84 anni,totale,altre malattie infettive e parassitarie
Sud,70-74 anni,maschi,diabete mellito
Sud,35-39 anni,maschi,disturbi psichici e comportamentali
Sud,25-29 anni,maschi,di cui annegamento e sommersione accidentali
Sud,40-44 anni,maschi,Covid-19
Sud,60-64 anni,femmine,malattie del sistema nervoso e degli organi di senso
Sud,40-44 anni,totale,cause esterne di traumatismo e avvelenamento
Sud,35-39 anni,femmine,altre malattie del cuore
Sud,totale,totale,di cui tumori maligni dello stomaco
Sud,15-19 anni,femmine,di cui altri accidenti
Sud,50-54 anni,totale,"malattie endocrine, nutrizionali e metaboliche"
Sud,60-64 anni,maschi,di cui asma
Sud,35-39 anni,maschi,malattie dell'apparato genitourinario
Sud,35-39 anni,femmine,di cui morbo di hodgkin e linfomi
Sud,20-24 anni,femmine,"di cui tumori maligni delle labbra, cavità orale e faringe"
Sud,70-74 anni,femmine,di cui tumori maligni dell'ovaio
Sud,95 anni e più,maschi,demenza
Sud,80-84 anni,totale,influenza
Sud,50-54 anni,totale,alcune condizioni morbose che hanno origine nel periodo perinatale
Sud,70-74 anni,totale,malattie del sistema osteomuscolare e del tessuto connettivo
Sud,95 anni e più,totale,malattie croniche delle basse vie respiratorie
Sud,50-54 anni,femmine,di cui avvelenamento accidentale
Sud,75-79 anni,maschi,malattie del sistema circolatorio
Sud,20-24 anni,totale,accidenti
Sud,70-74 anni,totale,altre malattie del cuore
Sud,35-39 anni,femmine,"altri sintomi, segni, risultati anomali e cause mal definite"
Sud,70-74 anni,femmine,disturbi psichici e comportamentali
Sud,15-19 anni,maschi,di cui asma
Sud,65-69 anni,maschi,di cui morbo di hodgkin e linfomi
Sud,45-49 anni,maschi,di cui tumori maligni della laringe
Sud,70-74 anni,femmine,"ulcera dello stomaco, duodeno e digiuno"
Sud,5-9 anni,femmine,"sintomi, segni, risultati anomali e cause mal definite"
Sud,80-84 anni,totale,di cui avvelenamento accidentale
Sud,80-84 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Sud,45-49 anni,femmine,"Covid-19, virus identificato"
Sud,85-89 anni,femmine,cause sconosciute e non specificate
Sud,90-94 anni,totale,malattie ischemiche del cuore
Sud,65-69 anni,totale,di cui tumori maligni dell'esofago
Sud,35-39 anni,totale,di cui tumori maligni di altre parti dell'utero
Sud,20-24 anni,totale,tumori
Sud,65-69 anni,femmine,di cui altri tumori maligni
Sud,90-94 anni,maschi,tumori non maligni (benigni e di comportamento incerto)
Sud,35-39 anni,totale,disturbi psichici e comportamentali
Sud,55-59 anni,femmine,malattie del sistema respiratorio
Sud,non indicato,totale,"malattie endocrine, nutrizionali e metaboliche"
Sud,55-59 anni,maschi,"Covid-19, virus non identificato"
Sud,90-94 anni,maschi,cause sconosciute e non specificate
Sud,35-39 anni,femmine,tumori maligni
Sud,55-59 anni,totale,"Covid-19, virus non identificato"
Sud,totale,femmine,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Sud,70-74 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Sud,totale,totale,morbo di parkinson
Sud,40-44 anni,maschi,abuso di alcool (compresa psicosi alcolica)
Sud,55-59 anni,maschi,diabete mellito
Sud,55-59 anni,maschi,altri disturbi psichici e comportamentali
Sud,15-19 anni,totale,di cui tumori maligni del rene
Sud,95 anni e più,totale,di cui tumori maligni del seno
Sud,55-59 anni,maschi,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Sud,85-89 anni,femmine,di cui asma
Sud,85-89 anni,totale,malattie del rene e dell'uretere
Sud,75-79 anni,totale,suicidio e autolesione intenzionale
Sud,60-64 anni,femmine,altre malattie del cuore
Sud,20-24 anni,totale,malattie del sistema circolatorio
Sud,95 anni e più,femmine,altre malattie del cuore
Sud,1-4 anni,totale,altre malattie dell'apparato digerente
Sud,65-69 anni,maschi,"altri sintomi, segni, risultati anomali e cause mal definite"
Sud,45-49 anni,maschi,totale
Sud,65-69 anni,totale,malattie del sistema osteomuscolare e del tessuto connettivo
Sud,40-44 anni,totale,di cui tumori maligni della cervice uterina
Sud,85-89 anni,maschi,di cui tumori maligni della laringe
Sud,90-94 anni,maschi,malattie croniche delle basse vie respiratorie
Sud,75-79 anni,femmine,tumori non maligni (benigni e di comportamento incerto)
Sud,55-59 anni,maschi,di cui tumori maligni della vescica
Sud,75-79 anni,totale,di cui altri accidenti
Sud,25-29 anni,maschi,altre malattie del sistema respiratorio
Sud,1-4 anni,maschi,di cui annegamento e sommersione accidentali
Sud,50-54 anni,maschi,"Covid-19, virus non identificato"
Sud,65-69 anni,totale,artrite reumatoide a osteoartrosi
Sud,65-69 anni,maschi,malattie del sistema respiratorio
Sud,70-74 anni,maschi,aids (malattia da hiv)
Sud,55-59 anni,maschi,malattie del sistema circolatorio
Sud,30-34 anni,maschi,di cui morbo di hodgkin e linfomi
Sud,totale,totale,malattie del sistema respiratorio
Sud,90-94 anni,femmine,di cui altri accidenti
